kyA: kyA/__p
garmamijAja: None
garmI: ladak/I__n
GarRaNa: None
GarrAtA: None
GarRiwa: None
garuda: None
garva: rAw/a__n
garvIlA: None
garwa: rAw/a__n
garxaBa: None
garxa: Karc/a__n
garxana: rAw/a__n
garxiSa: None
GAsa: rAw/a__n
gaSa: None
GAsaleta: None
GAsaPUzsa: None
GasIta: uT/a__v
GasiyArA: None
gaSwa: rAw/a__n
gaSwI: ajAwI/__adj
GatA: KA/__v
Gata: uT/a__v
GAta: Karc/a__n
GAtA: kAl/A__n
gaTa: None
Gataka: wIn/a__adj
gatakanA: None
GatAkASa: None
GatanAcakra: rAw/a__n
GatanA: pIdZ/A__n
gaTana: rAw/a__n
GatanAkrama: rAw/a__n
GatanAsWala: rAw/a__n
gaTarI: ladak/I__n
GatAtopa: None
GatAva: None
GatI: ladak/I__n
GAtI: ladak/I__n
GatikA: None
gaTIlA: None
Gatiwa: wIn/a__adj
gaTiwa: rAw/a__n
gaTiyA: kAl/A__n
GatiyA: bAlikA/__adj
GatOwI: None
gattA: kAl/A__adj
gatTA: None
GatTA: None
gatTara: None
gaU: None
gAuna: None
gavAha: rAw/a__n
gavAhI: ladak/I__n
gAva: None
GAva: rAw/a__n
gavarmmeMta: None
gavarnameMta: rAw/a__n
gavarnara: rAw/a__n
gavAz: None
gaveRaNA: None
gavEyA: None
gavya: None
gawAgawa: None
gawa: rAw/a__n
gAWA: pIdZ/A__n
GAwa: rAw/a__n
GAwaka: wIn/a__adj
gawakAla: None
gawAMka: None
gawAnugawa: None
gawAnugawika: None
gawArWa: None
gawihIna: None
gawi: SAnwi/__n
gawimAna: None
gawiroxa: None
gawiSIla: wIn/a__adj
gawiSIlawA: kAl/A__n
gAwra: None
gawwA: None
gawyavaroXa: None
gawyAwmaka: None
gaxagaxa: rAw/a__n
gaxahA: None
gaxA: None
gaXA: None
gaXApana: None
gaxarA: None
gaxara: rAw/a__n
gaxAXara: None
gaxAyuxXa: None
gaxgaxa: None
gaxxA: kAl/A__adj
gaxxAra: rAw/a__n
gaxxArI: None
gaxxI: ladak/I__n
gaxya: rAw/a__n
gaxyakAvya: None
gaxyapaxya: None
gAyaba: rAw/a__n
gayAbIwA: None
gAya: rAw/a__n
gAyaka: rAw/a__n
gAyakI: ladak/I__n
GAyala: rAw/a__n
gAyana: rAw/a__n
gAyawrI: ladak/I__n
gAyikA: kAl/A__n
gazdAsA: None
gazderI: None
GAzGarA: None
gAzjA: None
gAzTagoBI: None
gAzTa: None
gAzTakata: None
gazTakatA: None
gAzTaxAra: None
gazvA: KA/__v
gAzva: rAw/a__n
gazvAra: None
gazvArina: None
gazvArU: None
gazxalA: None
geha: None
geheSUra: None
gehinI: None
gehuzA: None
gehuzana: None
gehUz: geh/Uz__n
gElana: None
gElarI: ladak/I__n
gEMdA: bAlikA/__adj
geMxaballA: None
geMxA: None
geMxa: rAw/a__n
GerAbaMxI: ladak/I__n
gErahAjira: None
gErahAjirI: ladak/I__n
gEra: rAw/a__n
Gera: uT/a__v
GerA: kAl/A__adj
gErajimmexara: None
gEramAmUlI: None
gErapeSevara: None
GerAva: rAw/a__n
gErawa: None
gErawamaMxa: None
GeraxAra: None
geruA: None
gerU: None
geruyA: None
gEsa: rAw/a__n
gEwI: None
geya: None
gEzdA: None
gEzwI: None
gezxabAja: None
gezxabAjI: None
gezxaballA: None
gezxA: None
Gicapica: None
gicapica: None
gidagidAhata: None
gidagidA: None
GigGI: None
GiGiyA: None
GI: ladak/I__n
gilaharI: ladak/I__n
gila: rAw/a__n
gIlA: kAl/A__n
gilAPa: None
gIlApana: None
gilAsa: rAw/a__n
gilata: None
gilatI: None
gIlI: ajAwI/__adj
gilOrI: None
Gina: None
ginA: KA/__v
gina: uT/a__v
ginavA: None
GinAvanA: None
ginawI: ladak/I__n
GinOnA: kAl/A__adj
giragita: rAw/a__n
giraha: None
girahakata: None
girA: KA/__v
gira: uT/a__v
giranA: kAl/A__n
Gira: uT/a__v
GiranI: None
giraPawAra: None
giraPawArI: None
giraPwa: rAw/a__n
giraPwAra: rAw/a__n
giraPwArI: ladak/I__n
giraswI: None
GirAva: None
girAvata: rAw/a__n
giravI: ladak/I__n
giri: SAnwi/__n
girijA: kAl/A__n
girirAja: rAw/a__n
girISa: rAw/a__n
giriXara: None
giroha: rAw/a__n
girxa: rAw/a__n
Gisa: uT/a__v
GisAva: None
gitapita: None
gittaka: None
gittI: None
gIwA: kAl/A__n
gIwa: Karc/a__n
gIwakAra: rAw/a__n
gIwapriya: None
gIwAyana: None
gIxada: None
gIxadI: None
gIXa: None
gixXa: rAw/a__n
GIyA: None
glAni: SAnwi/__n
glAsa: rAw/a__n
glUkoja: None
gobaragaNeSa: None
gobara: rAw/a__n
goBI: ladak/I__n
gocara: rAw/a__n
gocAraNa: None
gocarma: None
GodAgAdI: None
gOda: None
GodA: None
goda: None
GodI: None
gOdIya: None
goGAwa: None
goGna: None
gogrAsa: None
gohawyA: kAl/A__n
gohiwa: None
gO: None
go: redio/__n
gojala: None
gojara: None
gojAwi: None
goKale: None
gokanyA: None
gokarNa: None
gokqwa: None
gokRIra: None
gokula: rAw/a__n
golAbArI: ladak/I__n
golAbArUxa: rAw/a__n
golagappA: None
golagola: None
gola: Karc/a__n
Gola: uT/a__v
golA: kAl/A__n
golAI: None
Golaka: None
golaka: None
golAkAra: rAw/a__n
golAkqwi: None
golamAla: None
golamatola: None
golamirca: None
golamola: None
golaMxAja: None
golaMxAjI: None
golArxXa: None
golAXAra: None
golI: ladak/I__n
golIkAMda: None
goloka: None
gomAMsa: None
gomAwA: None
gomawI: ladak/I__n
GoMGA: None
GoMsalA: None
GoMta: uT/a__v
gomuKI: None
gomUwra: None
goMxa: rAw/a__n
goMxaxAnI: None
gONa: wIn/a__adj
gOnA: kAl/A__n
gonarxIya: None
gopA: None
gopAlaka: None
gopAlikA: None
gopAMganA: None
gopana: None
gopanIya: wIn/a__adj
gopanIyawA: kAl/A__n
gopARtamI: None
gopaxa: None
gopI: None
gopurIRa: None
gopuwra: None
gopya: None
gorAcittA: None
gOra: rAw/a__n
Gora: wIn/a__adj
GoRa: rAw/a__n
gorA: kAl/A__adj
gOrA: kAl/A__n
goraKa: None
goraKA: bAlikA/__adj
goraKaXaMXA: bAlikA/__adj
gorakRA: None
gorakRaka: None
gOrakRya: None
GoRAla: None
gOrAMga: None
gOrAMgI: None
GoRaNA: pIdZ/A__n
GoRaNApawra: None
gOrava: rAw/a__n
gOravAnviwa: wIn/a__adj
gOravaSAlI: ajAwI/__adj
gOrEyA: None
gOrI: ladak/I__n
gorI: None
gOrIkAMwa: None
gorillA: bAlikA/__adj
gOrInAWa: None
gOrISa: None
gOrISaMkara: None
GoRiwa: wIn/a__adj
gorocana: None
goRTa: None
goRTI: ladak/I__n
goRTIkaRa: None
goSAlA: ASA/__n
gOSAlA: None
gosaMvarXana: None
GosI: None
goSrqMga: None
gosuwa: None
goSwa: rAw/a__n
gotA: None
gota: None
Gota: None
GotAI: None
GotAlA: kAl/A__adj
gotI: None
govarXana: rAw/a__n
govawsa: None
govaXa: None
govqMxa: None
gowA: None
gowAKora: rAw/a__n
gOwama: rAw/a__n
gowAmAra: None
gOwamI: ladak/I__n
gowra: rAw/a__n
gowrIya: None
goxaBarI: None
goxa: rAw/a__n
goxAma: rAw/a__n
goxana: None
goxAna: None
goXana: None
goXarma: None
goxAvarI: ladak/I__n
goxI: ladak/I__n
goxohana: None
goxohanI: None
goXUma: None
goya: None
goyA: None
Gozpa: None
GozsalA: None
gozxa: None
gqhaBexa: None
gqhaBexI: None
gqhAgawa: None
gqha: rAw/a__n
gqhajana: None
gqhakalaha: None
gqhaKaMda: None
gqhakanyA: None
gqhakArI: None
gqhakarma: None
gqhakArya: None
gqhalakRmI: ladak/I__n
gqhamaMwrI: ladak/I__n
gqhaNI: None
gqhapAla: None
gqhapaSu: None
gqhapawi: None
gqhapraveSa: None
gqhasajjA: None
gqhAsakwa: None
gqhASrama: None
gqhasvAminI: None
gqhasWa: rAw/a__n
gqhasWASrama: None
gqhasWI: ladak/I__n
gqhauxyoga: None
gqhavAsI: None
gqhawyAga: None
gqhawyAgI: None
gqhaxevawA: None
gqhaxevI: None
gqhayuxXa: None
gqhiNI: ladak/I__n
gqhIwa: None
gqhIwArWa: None
gqhoxyAna: None
gqhoxyoga: None
gqhya: None
GqNA: pIdZ/A__n
GqNAspaxa: None
GqNiwa: wIn/a__adj
GqwAhuwi: None
Gqwa: rAw/a__n
GqwAkwa: None
GqwAnna: None
grAha: None
graha: rAw/a__n
grAhaka: rAw/a__n
grAhakI: None
grahaNa: rAw/a__n
grahanASa: None
grahapawi: None
grahapIdA: None
grahaSAMwi: None
grahaxaSA: None
grahaxevawA: None
grahayoga: None
grahayuxXa: None
grahIwA: None
grAhya: wIn/a__adj
grAmacara: None
grAmAcAra: None
grAmacaryA: None
grAma: rAw/a__n
grAmakukkuta: None
grAmAMwa: None
grAmAMwara: None
grAmaNI: None
grAmapaMcAyawa: None
grAmapATaSAlA: None
grAmasaMGatana: None
grAmasevaka: None
grAmasuXAra: None
grAmavAsI: None
grAmINa: rAw/a__n
grAmINA: kAl/A__n
grAmoPona: None
grAmoxyoga: rAw/a__n
graMWAgAra: None
graMWa: rAw/a__n
graMWakAra: None
graMWAlaya: None
graMWAMwara: None
graMWana: None
graMWaracanA: None
graMWasAhaba: None
graMWAvalI: None
graMWi: Apawwi/__n
graMWI: ajAwI/__adj
grAmya: wIn/a__adj
grAmyapaSu: None
GrANa: None
GrANeMxriya: None
grAsa: rAw/a__n
grasa: uT/a__v
grasana: None
grasiwa: wIn/a__adj
graswa: wIn/a__adj
graswoxaya: None
GrAwa: None
GrAwavya: None
graWiwa: None
greda: rAw/a__n
grejueta: rAw/a__n
grena: None
grenAita: rAw/a__n
greta: wIn/a__adj
grIka: rAw/a__n
grIRma: rAw/a__n
grIRmakAla: rAw/a__n
grIRmAvakASa: None
grIvA: None
grupa: rAw/a__n
gubAra: None
gubbArA: kAl/A__adj
gucCa: None
gucCA: None
gucCexAra: None
gudagudAhata: None
gudaguda: None
gudagudA: None
gudagudI: None
gudahala: None
gUDa: None
guda: rAw/a__n
Guda: None
gUDajIvI: None
Gudaka: None
gUDakArI: None
gudAkeSa: None
GudakI: None
gUDaleKa: None
gUDamArga: None
gudapAka: None
gUDaPala: None
gUDapaWa: None
gUDapuruRa: None
GudasAla: None
GudasavAra: None
GudasavArI: None
gUDawA: None
gudaXAnI: None
GudaxOda: None
guddA: None
guddI: None
gudiyA: None
gUDokwi: None
GugGU: None
guhA: kAl/A__n
guhAra: rAw/a__n
guhyaguru: None
guhya: None
guhyapuRpa: None
guhyaxIpaka: None
guhyaxvAra: None
GuiyAz: None
gujara: uT/a__v
gUjara: rAw/a__n
gujArA: kAl/A__adj
gujAra: uT/a__v
gujarAwa: rAw/a__n
gujarAwI: ajAwI/__adj
gUjarI: ladak/I__n
gujariSa: None
gujAriSa: None
guJiyA: None
gulAbabAdI: None
gulAba: rAw/a__n
gulAbajala: None
gulAbajAmuna: None
gulAbapASa: None
gulabaxana: None
gulAbI: ajAwI/__adj
gulAbIpana: None
gulaCarrA: None
gulagulA: None
GulA: W/A__v
gula: rAw/a__n
Gula: uT/a__v
gulajAra: rAw/a__n
gulakArI: None
gulAla: None
gulAma: rAw/a__n
gulamehazxI: None
gulAmI: ladak/I__n
gulanAra: None
GulanaSIla: None
GulanaSIlawA: None
gulaPAma: None
gUlara: rAw/a__n
gulaSana: None
gulaxAna: None
gulaxAra: None
gulaxaswA: kAl/A__adj
gulelabAjI: None
gulela: None
gullIdaMdA: None
gullI: None
gulma: rAw/a__n
gulUbaMxa: None
Gumada: None
GumA: KA/__v
GUma: uT/a__v
Gumakkada: None
gumAna: None
gumanAma: wIn/a__adj
gumAnI: None
gumarAha: rAw/a__n
gumarAhI: None
gumasuma: wIn/a__adj
gumaSuxA: None
gumASwA: None
gumatI: None
GumAva: None
GumAvaxAra: None
guMbaja: None
guMbajaxAra: None
guMbaxa: rAw/a__n
guMdAgarxI: None
guMdA: None
guMdaI: None
GuMdI: None
GuMdIxAra: None
guMjAiSa: rAw/a__n
guMjana: None
guMjAyamAna: wIn/a__adj
guMjiwa: None
gUMPana: None
guMPiwa: None
guMTana: None
guMTiwa: None
guNADya: None
guNagAna: rAw/a__n
gunagunA: kAl/A__adj
gunahagAra: rAw/a__n
gunAha: rAw/a__n
guNahIna: None
Guna: None
guNa: rAw/a__n
gunA: kAl/A__adj
guNA: bAlikA/__adj
guNakara: None
guNAkara: None
guNakAraka: None
guNakArI: None
GuNAkRara: None
GuNAkRaranyAya: None
guNAMka: rAw/a__n
guNanacihna: None
guNana: rAw/a__n
guNanaPala: None
guNAnuvAxa: None
guNAnviwa: None
guNavaMwa: None
guNavawwA: pIdZ/A__n
guNawA: kAl/A__n
guNAwIwa: None
guNAwmaka: rAw/a__n
guNaxoRa: None
guNIBUwa: None
guNI: None
gunI: ladak/I__n
guNiwa: wIn/a__adj
GunnA: None
guNopewa: None
Gupa: None
guPA: pIdZ/A__n
gupwacara: rAw/a__n
gupwagqha: None
guPwagU: None
gupwa: wIn/a__adj
gupwA: kAl/A__n
gupwAMga: None
gupwaxAna: None
gupwI: None
gupwi: None
GuraGurAhata: None
GuraGurA: None
GUrA: kAl/A__adj
Gura: None
GUra: uT/a__v
guraxA: None
gurillA: bAlikA/__adj
gurjara: rAw/a__n
gurrA: KA/__v
guruAnI: None
guruBAI: None
gurucaryA: None
guru: vAyu/__n
gurujana: None
gurukula: rAw/a__n
gurumaMwra: None
gurumuKa: None
gurumuKI: None
gurupUrNimA: None
guruvAra: rAw/a__n
buXavAra: rAw/a__n
guruwA: None
guruwAla: None
guruwva: None
guruwvAkarRaNa: None
guruxvArA: kAl/A__adj
GUsa: rAw/a__n
Gusa: uT/a__v
GUsaKora: None
GUsaKorI: None
gusala: None
gusalaKAnA: None
gusapETa: None
GusapETa: rAw/a__n
GusavA: None
Guseda: None
gussA: kAl/A__n
gussEla: None
guswAKa: None
guswAKI: None
gutabaMxI: None
guta: rAw/a__n
GutA: None
Guta: uT/a__v
GutAI: None
guTalI: None
guTalIxAra: None
Gutana: Karc/a__n
GutanA: kAl/A__adj
GuttI: ladak/I__n
guWa: None
guwWamaguwWA: None
guwWI: ladak/I__n
gUxada: None
guxadI: None
guxaguxA: None
guxaguxI: None
guxA: None
gUxA: None
gUxexAra: None
guxxI: None
gUzgA: None
GUzGara: None
GuzGarAlA: None
GuzGarU: None
GuzGarUxAra: None
GUzGata: rAw/a__n
gUzgI: None
guzja: None
gUzja: uT/a__v
GUzsA: None
GUzsebAja: None
GuzsebAjI: None
GUzsebAjI: None
GUzta: uT/a__v
GUztI: None
guzWa: None
gUzWa: None
guzXa: None
gUzXa: None
gvAlabAla: None
gvAla: None
gvAlA: None
gvAlina: None
gyAraha: rAw/a__n
gyArahavAz: None
habaSI: None
habIba: wIn/a__adj
hadabadA: None
hadabadI: None
hadabadiyA: None
hadakA: None
hAdamAzsa: None
hadapa: None
hadawAla: None
hadawAlI: None
haddI: ladak/I__n
hadZappA: None
hAhAkAra: rAw/a__n
hAidrojana: None
hAI: ajAwI/__adj
hajama: wIn/a__adj
hajAma: None
hAjamA: None
hajAmawa: None
hajAra: rAw/a__n
hajArA: None
hajarawa: rAw/a__n
hajArI: None
hAjawa: None
hAjawI: None
hAjI: ladak/I__n
hAjira: wIn/a__adj
hAjirajavAba: None
hAjirajavAbI: None
hAjiranAjira: None
hAjiraximAga: None
hAjirIbahI: None
hAjirI: ladak/I__n
hAjmA: None
hajUra: None
hakabakA: None
haka: rAw/a__n
hakalAhata: None
hakalA: None
hakAra: None
hakaxAra: rAw/a__n
hAkI: None
hakIkawa: rAw/a__n
hakIkawapasaMxa: None
hakIma: rAw/a__n
hAkima: None
hakImI: None
hAkimI: None
hAkinI: None
hakkA: None
halacala: rAw/a__n
halagrAhI: None
halAhala: None
hAlAhala: None
hAlA: None
hAla: rAw/a__n
hala: rAw/a__n
halajIvI: None
halaka: Karc/a__n
halAka: None
halakA: kAl/A__n
halakApana: None
halAla: rAw/a__n
halaMwa: None
halaPa: None
halaPanAmA: kAl/A__adj
halarA: None
halavA: kAl/A__n
halavAI: ladak/I__n
halavAsohana: None
hAlawa: rAw/a__n
hAlAwa: rAw/a__n
halaxI: None
halaxiyA: None
halAyuXa: None
hAlika: None
halkA: kAl/A__n
hallA: kAl/A__n
hAlta: None
halxI: ladak/I__n
hamabiswara: None
hamajolI: None
hamAkawa: None
hamakOma: None
hamalA: kAl/A__adj
hamamajahaba: None
hamamulka: None
hamarAha: None
hamarAhI: None
hamasaPara: wIn/a__adj
hamaumra: None
hamavawana: None
hamaxarxa: rAw/a__n
hamaxarxI: ladak/I__n
haMdA: None
haMdikA: None
haMdiyA: kAl/A__n
haMgAmA: kAl/A__adj
haMgAmI: None
hAmI: ladak/I__n
haMkAra: None
hammIra: None
haMsagamana: None
haMsagAminI: None
haMsa: rAw/a__n
haMsajAwIya: None
haMsanAxa: None
haMsanAxI: None
haMsArUDa: None
haMsArUDA: None
haMsAXirUDA: None
haMtara: None
haMwA: None
haMwavya: None
hanana: rAw/a__n
hananIya: None
hAni: Apawwi/__n
hAnikara: wIn/a__adj
hanIPZa: None
hanu: None
hanumAna: rAw/a__n
hanyamAna: None
haPawA: None
haPawAvAra: None
haPwA: kAl/A__adj
harABarA: None
harabolA: None
harabozga: None
haraeka: None
hara: wIn/a__adj
harA: kAl/A__adj
hAra: uT/a__v
harajAnA: kAl/A__n
hAraka: None
harakawa: rAw/a__n
haraPanamOlA: None
harAma: wIn/a__adj
harAmajAxA: None
harAmajAxI: None
harAmaKora: None
harAmaKorI: None
harAmI: None
hAramoniyama: None
haraNa: None
haranewra: None
haraNIya: None
harApana: rAw/a__n
haravAha: rAw/a__n
haravAhana: None
haravAhI: ladak/I__n
haraxila: None
haraxOla: rAw/a__n
haraxvAra: None
hareka: rAw/a__n
hariBakwa: None
hariBakwi: None
haricaMxana: None
harI: ladak/I__n
hArI: ajAwI/__adj
hari: SAnwi/__n
harijana: rAw/a__n
harikAMwA: None
harikaWA: None
harikeSa: wIn/a__adj
harIkrAMwi: None
harilIlA: None
harimaMxira: None
hariNacarma: None
hAriNa: None
hariNa: rAw/a__n
hariNanewrA: None
hariNI: None
harisa: None
harISa: rAw/a__n
harisaMkIrwana: None
hariScaMxra: None
harisiMgAra: None
harivallaBA: None
hariwa: wIn/a__adj
hAriwa: None
harIwakI: None
hariwAlikA: None
harIwimA: None
hariwparNa: None
hariXAma: None
harixrABa: None
hArixra: None
harixrA: None
harixra: None
harixrAkwa: None
harixvAra: rAw/a__n
hariyAlI: ladak/I__n
harja: rAw/a__n
harjA: None
hArmona: rAw/a__n
harmya: None
harmyawala: None
hArna: None
harRA: None
harRa: None
harRakara: None
harRAkula: None
harRaNa: None
harRaNIya: None
harRAnviwa: None
harRASru: None
harRavarxXana: wIn/a__adj
harRavihvala: None
harRavivarXana: None
harRAwiSaya: None
harRaxAna: None
harRiwa: None
harRonmAxa: None
harRowkarRa: None
harRowPulla: None
harwA: None
harwavya: None
hArxa: None
hArxI: None
hArxika: None
hArya: None
haryakRa: None
hAsa: rAw/a__n
hasana: Karc/a__n
hasanIya: None
hasarawa: rAw/a__n
hasarawamaMxa: None
hAsila: rAw/a__n
hasIna: wIn/a__adj
hasiwa: None
hASiyA: bAlikA/__adj
hasra: None
haSra: rAw/a__n
hAstala: None
haswABaraNa: None
haswacAlana: None
haswacApalya: None
haswagawa: None
haswagraha: None
haswagrAhaka: None
haswAgra: None
haswa: None
haswakalA: None
haswakamala: None
haswakArya: None
haswakOSala: None
haswAkRara: rAw/a__n
haswAkRarakarwA: None
haswakRepa: rAw/a__n
haswaleKa: None
haswaliKiwa: wIn/a__adj
haswalipi: None
haswAmalaka: None
haswamEWuna: None
haswAMjali: None
haswAMwara: None
haswAMwaraNa: rAw/a__n
haswAMwariwa: wIn/a__adj
haswapAxa: None
haswapqRTa: None
haswareKA: None
haswawala: None
haswawAla: None
haswAxAna: None
haswaXAraNa: None
haswI: ladak/I__n
hAswika: None
haswinApura: rAw/a__n
haswinI: None
haswIpAla: None
haswISuMda: None
haswIxaMwa: None
hAsya: wIn/a__adj
hAsyajanaka: None
hAsyakaWA: None
hAsyarasa: None
hAsyAspaxa: wIn/a__adj
hAsyowpAxaka: None
hAta: rAw/a__n
hatA: KA/__v
haTa: None
hata: uT/a__v
hAtaka: None
haTakAmuka: None
haTakarma: None
hAtakIya: None
haTaSIla: None
hatavA: None
haTavixyA: None
hAtavyavasWA: None
haTaXarma: None
haTaXarmI: None
haTayoga: rAw/a__n
haTayogI: None
hatiA: None
haTI: None
haTIlA: None
hAusa: rAw/a__n
havAbAja: None
havAIaddA: kAl/A__adj
havAIdAka: None
havAIhamalA: None
havA: pIdZ/A__n
hAva: None
havAI: ladak/I__n
havAIjahAja: None
havAIKabara: None
havAIkilA: None
havAImArga: None
havAImuTaBeda: None
havAIpattI: None
havAIyuxXa: None
havAKorI: ladak/I__n
havAlA: kAl/A__adj
havAlAwa: rAw/a__n
havAlAwI: None
havalaxAra: rAw/a__n
havAmAra: None
havana: rAw/a__n
havApAnI: None
havasa: rAw/a__n
havAxAra: None
havelI: ladak/I__n
haviHSAlA: None
haviHSeRa: None
hAvI: ladak/I__n
havirBU: None
haviRmawI: None
haviRpAwra: None
havirXUma: None
haviRya: None
haviryajFa: None
haviRyAnna: None
havivAhuwi: None
havya: None
hawaBAga: None
hawacewana: None
hawaciwwa: None
haWagolA: kAl/A__adj
hawAhawa: wIn/a__adj
hawahqxaya: None
hawa: None
haWa: None
hAWa: rAw/a__n
hAwA: None
hawajFAna: None
hawajIvana: None
hawajIviwa: None
haWakadI: None
haWakaMdA: None
haWakaraGA: bAlikA/__adj
haWakarA: None
hawamAnasa: None
hawamUrKa: None
haWanI: None
haWaPera: None
hawapraBAva: None
hawapramAxa: None
hawaprAya: None
hawASa: rAw/a__n
haWasAra: None
hawasmara: None
hawaSraxXa: None
hawaSrI: None
hawasvara: None
hawAvaSeRa: None
hawavega: None
hawavIrya: None
hawavrIda: None
hAwavya: None
hawawApa: None
hawaxEva: None
haWelI: None
hAWI: ladak/I__n
haWinI: None
hAWIpAzva: None
hAWIxAzwa: None
haWiyA: KA/__v
haWiyArabaMxa: wIn/a__adj
haWiyAra: rAw/a__n
haWOdA: None
haWOdI: None
hawowsAha: None
hawoxyama: None
hawWA: kAl/A__adj
hawyA: pIdZ/A__n
hawyAkAMda: rAw/a__n
hawyArA: kAl/A__adj
hawyArI: None
hawyArina: None
haxa: rAw/a__n
hAxasA: kAl/A__adj
hayagrIvA: None
hayA: None
haya: None
hAyana: None
hayArUDa: None
hAzdI: None
hazdiyA: None
hAzka: None
hAzkara: None
hazkArA: None
hazkAra: None
hazkavA: None
hazkavEyA: None
hAzPa: None
hAzPI: None
hazsA: W/A__v
hazsa: uT/a__v
hazsAI: None
hazsalI: None
hazsamuKa: wIn/a__adj
hazsanI: None
hazsI: ladak/I__n
hazsIKela: None
hazsITaTolI: None
hazsiyA: None
hazsoda: None
hedaAPisa: None
heda: rAw/a__n
hedakvArtara: rAw/a__n
hedamAstara: None
hE: h/E__v
hEjA: None
hekadI: None
hekteyara: rAw/a__n
hela: None
helameta: None
helana: None
helanA: None
helanIya: None
helWa: rAw/a__n
hemagarBa: None
hemagqha: None
hEma: None
hemA: kAl/A__n
hema: None
hemakakRa: None
hemakalaSa: None
hemakAMwi: None
hemakarwA: None
hemakewakI: None
hemakuMBa: None
hEmamuxrA: None
hEmaMwa: None
hemaMwa: rAw/a__n
hemaMwI: None
hEmavawa: None
hEmavawI: None
hEmavawika: None
hemawulA: None
hemAxri: None
hEMdabEga: None
hEMdabila: None
hEMda: rAw/a__n
hEMdala: rAw/a__n
hEMdila: None
hEMgiMgabrija: None
hEMgiMgagArdena: None
hEMgiMga: wIn/a__adj
hEMgiMgalEMpa: None
hera: None
heraMba: None
hErAna: wIn/a__adj
hErAnI: ladak/I__n
hEraNyagarBa: None
hEraNya: None
heraPera: rAw/a__n
hErawaaMgeja: wIn/a__adj
hErawa: rAw/a__n
hEsiyawa: rAw/a__n
hEsiyawaxAra: None
hEta: None
heTI: None
hEvAna: rAw/a__n
hEvAnI: None
hEvAniyawa: None
hewuka: None
hEwuka: None
hewukI: None
hewulakRaNa: None
hewuSAswra: None
hewuSUnya: None
hewuvacana: None
hewuvAxa: None
hewuvAxI: None
hewuyukwa: None
hewvABAsa: None
heya: None
hicaka: uT/a__v
hicakicAhata: rAw/a__n
hicakicA: KA/__v
hicakI: None
hicakolA: None
hijadA: None
hijarI: None
hikamawa: None
hikamawI: None
hikkI: None
hIlAhavAlA: None
hilA: KA/__v
hila: uT/a__v
hilakora: None
hilakorA: None
hilorA: None
hilora: None
himAcala: rAw/a__n
himAcCanna: None
himAcCAxiwa: None
himagahvara: None
himagarBa: None
hima: wIn/a__adj
himajvara: None
himaKaMda: rAw/a__n
himakaNa: None
himakara: None
himakiraNa: None
himAlaya: rAw/a__n
himAMSu: None
himanaxa: rAw/a__n
himapAwa: rAw/a__n
himapuruRa: None
himaqwu: None
himaraSmi: None
himareKA: None
himaSIwala: None
himasuwA: None
himaupala: None
himavqRti: None
himawEla: None
himaxyuwi: None
himAyawa: rAw/a__n
himAyawI: ladak/I__n
hiMdolA: bAlikA/__adj
hiMgu: None
himmawa: rAw/a__n
himmawavara: None
himmawI: None
hiMsA: kAl/A__n
hiMsaka: rAw/a__n
hiMsAkarma: None
hiMsanIya: None
hiMsArawa: None
hiMsAwmakaAnxolana: None
hiMsAwmaka: None
hiMsra: None
hiMsrajaMwu: None
hiMxa: rAw/a__n
hiMxI: ladak/I__n
hiMxola: None
hiMxU: bah/U__n
hiMxUkuSa: None
hiMxuswAna: rAw/a__n
hiMxuswAnI: ladak/I__n
hiMxuswAnIsaMgIwa: None
hiMxuwva: rAw/a__n
hInabala: None
hInaBAvanA: bAlikA/__adj
hinahinAhata: None
hinahinA: None
hIna: wIn/a__adj
hinA: kAl/A__n
hinAI: None
hInakarmA: None
hInakoSa: None
hInakula: None
hInaprawijFa: None
hInavarga: None
hInavAxa: None
hInavIrya: None
hInawA: None
hInawva: None
hInayAna: None
hiPAjawa: rAw/a__n
hIrAAxamI: None
hIra: Karc/a__n
hIrA: kAl/A__n
hIraka: rAw/a__n
hirana: rAw/a__n
hiraNa: rAw/a__n
hiraNmaya: None
hiraNmayakoSa: None
hiraNyagarBA: None
hiraNyagarBa: None
hiraNya: None
hiraNyaka: None
hiraNyakakRa: None
hiraNyakaMTa: None
hiraNyakAra: None
hiraNyakaSipu: None
hiraNyakavaca: None
hiraNyAkRa: None
hiraNyavaswra: None
hirAsawa: rAw/a__n
hIro: redio/__n
hIroina: rAw/a__n
hisAbabahI: None
hisAbacora: None
hisAba: rAw/a__n
hisAbI: None
hisAbiyA: None
hisAra: rAw/a__n
hissAbaKarA: None
hissA: kAl/A__adj
hissexAra: rAw/a__n
hissexArI: ladak/I__n
histIriyA: None
hItara: rAw/a__n
hiwabuxXi: None
hiwaciMwaka: None
hiwaciMwana: None
hiwAhiwa: None
hiwa: rAw/a__n
hiwAkAMkRI: None
hiwakara: wIn/a__adj
hiwakAraka: None
hiwakarwA: None
hiwamiwra: None
hiwArWI: None
hiwavacana: None
hiwAvaha: None
hiwavAxI: None
hiwERaNA: None
hiwERI: ladak/I__n
hiwERiwA: None
hiwopaxeSa: None
hixAyawa: rAw/a__n
hixAyawanAmA: kAl/A__adj
hizdolA: None
hIzsa: None
hlAxa: None
hlAxaka: None
hlAxana: None
hlAxI: None
hlAxinI: None
hoda: None
ho: h/o__v
hOja: rAw/a__n
